PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"24909994","SOX2 controls tumour initiation and cancer stem-cell functions in squamous-cell carcinoma","Boumahdi S, Driessens G, Lapouge G, Rorive S, Nassar D, Le Mercier M, Delatte B, Caauwe A, Lenglez S, Nkusi E, Brohée S, Salmon I, Dubois C, del Marmol V, Fuks F, Beck B, Blanpain C.","Nature. 2014 Jul 10;511(7508):246-50. doi: 10.1038/nature13305. Epub 2014 Jun 8.","Boumahdi S","Nature","2014","2014/06/10","","","10.1038/nature13305"
"31537801","DNA methylation loss promotes immune evasion of tumours with high mutation and copy number load","Jung H, Kim HS, Kim JY, Sun JM, Ahn JS, Ahn MJ, Park K, Esteller M, Lee SH, Choi JK.","Nat Commun. 2019 Sep 19;10(1):4278. doi: 10.1038/s41467-019-12159-9.","Jung H","Nat Commun","2019","2019/09/21","PMC6753140","","10.1038/s41467-019-12159-9"
"27566840","Interactions between androgens, FSH, anti-Müllerian hormone and estradiol during folliculogenesis in the human normal and polycystic ovary","Dewailly D, Robin G, Peigne M, Decanter C, Pigny P, Catteau-Jonard S.","Hum Reprod Update. 2016 Nov;22(6):709-724. doi: 10.1093/humupd/dmw027. Epub 2016 Aug 27.","Dewailly D","Hum Reprod Update","2016","2016/08/28","","","10.1093/humupd/dmw027"
"32754268","Identification of a Tumor Microenvironment-relevant Gene set-based Prognostic Signature and Related Therapy Targets in Gastric Cancer","Cai WY, Dong ZN, Fu XT, Lin LY, Wang L, Ye GD, Luo QC, Chen YC.","Theranostics. 2020 Jul 9;10(19):8633-8647. doi: 10.7150/thno.47938. eCollection 2020.","Cai WY","Theranostics","2020","2020/08/06","PMC7392024","","10.7150/thno.47938"
"34509705","Deep learning models for benign and malign ocular tumor growth estimation","Goswami M.","Comput Med Imaging Graph. 2021 Oct;93:101986. doi: 10.1016/j.compmedimag.2021.101986. Epub 2021 Sep 8.","Goswami M","Comput Med Imaging Graph","2021","2021/09/12","","","10.1016/j.compmedimag.2021.101986"
"32461185","Spermidine as a target for cancer therapy","Fan J, Feng Z, Chen N.","Pharmacol Res. 2020 Sep;159:104943. doi: 10.1016/j.phrs.2020.104943. Epub 2020 May 24.","Fan J","Pharmacol Res","2020","2020/05/29","","","10.1016/j.phrs.2020.104943"
"28933567","Vitamin K and cancer","Dahlberg S, Ede J, Schött U.","Scand J Clin Lab Invest. 2017 Dec;77(8):555-567. doi: 10.1080/00365513.2017.1379090. Epub 2017 Sep 21.","Dahlberg S","Scand J Clin Lab Invest","2017","2017/09/22","","","10.1080/00365513.2017.1379090"
"21556889","Controversies in IVM","Reinblatt SL, Son WY, Shalom-Paz E, Holzer H.","J Assist Reprod Genet. 2011 Jun;28(6):525-30. doi: 10.1007/s10815-011-9575-z. Epub 2011 May 10.","Reinblatt SL","J Assist Reprod Genet","2011","2011/05/11","PMC3158256","","10.1007/s10815-011-9575-z"
"33792207","Identification of high-dimensional omics-derived predictors for tumor growth dynamics using machine learning and pharmacometric modeling","Zwep LB, Duisters KLW, Jansen M, Guo T, Meulman JJ, Upadhyay PJ, van Hasselt JGC.","CPT Pharmacometrics Syst Pharmacol. 2021 Apr;10(4):350-361. doi: 10.1002/psp4.12603. Epub 2021 Apr 8.","Zwep LB","CPT Pharmacometrics Syst Pharmacol","2021","2021/04/01","PMC8099445","","10.1002/psp4.12603"
"33929877","Artificial Intelligence and Radiomics in Head and Neck Cancer Care: Opportunities, Mechanics, and Challenges","van Dijk LV, Fuller CD.","Am Soc Clin Oncol Educ Book. 2021 Mar;41:1-11. doi: 10.1200/EDBK_320951.","van Dijk LV","Am Soc Clin Oncol Educ Book","2021","2021/04/30","PMC8218312","NIHMS1713629","10.1200/EDBK_320951"
"34327532","Machine learning-assisted imaging analysis of a human epiblast model","Resto Irizarry AM, Esfahani SN, Zheng Y, Yan RZ, Kinnunen P, Fu J.","Integr Biol (Camb). 2021 Oct 15;13(9):221-229. doi: 10.1093/intbio/zyab014.","Resto Irizarry AM","Integr Biol (Camb)","2021","2021/07/30","PMC8521036","","10.1093/intbio/zyab014"
"31467303","Image-based Classification of Tumor Type and Growth Rate using Machine Learning: a preclinical study","Tang TT, Zawaski JA, Francis KN, Qutub AA, Gaber MW.","Sci Rep. 2019 Aug 29;9(1):12529. doi: 10.1038/s41598-019-48738-5.","Tang TT","Sci Rep","2019","2019/08/31","PMC6715812","","10.1038/s41598-019-48738-5"
"33280255","Application of Machine Learning for Tumor Growth Inhibition - Overall Survival Modeling Platform","Chan P, Zhou X, Wang N, Liu Q, Bruno R, Jin JY.","CPT Pharmacometrics Syst Pharmacol. 2021 Jan;10(1):59-66. doi: 10.1002/psp4.12576. Epub 2020 Dec 13.","Chan P","CPT Pharmacometrics Syst Pharmacol","2021","2020/12/06","PMC7825187","","10.1002/psp4.12576"
"31539267","Machine-Learning and Stochastic Tumor Growth Models for Predicting Outcomes in Patients With Advanced Non-Small-Cell Lung Cancer","Siah KW, Khozin S, Wong CH, Lo AW.","JCO Clin Cancer Inform. 2019 Sep;3:1-11. doi: 10.1200/CCI.19.00046.","Siah KW","JCO Clin Cancer Inform","2019","2019/09/21","","","10.1200/CCI.19.00046"
"33796079","Pasireotide in the Personalized Treatment of Acromegaly","Puig-Domingo M, Bernabéu I, Picó A, Biagetti B, Gil J, Alvarez-Escolá C, Jordà M, Marques-Pamies M, Soldevila B, Gálvez MA, Cámara R, Aller J, Lamas C, Marazuela M.","Front Endocrinol (Lausanne). 2021 Mar 16;12:648411. doi: 10.3389/fendo.2021.648411. eCollection 2021.","Puig-Domingo M","Front Endocrinol (Lausanne)","2021","2021/04/02","PMC8008639","","10.3389/fendo.2021.648411"
"35004588","Machine Learning Assisted Cervical Cancer Detection","Mehmood M, Rizwan M, Gregus Ml M, Abbas S.","Front Public Health. 2021 Dec 23;9:788376. doi: 10.3389/fpubh.2021.788376. eCollection 2021.","Mehmood M","Front Public Health","2021","2022/01/10","PMC8733205","","10.3389/fpubh.2021.788376"
"31562074","Spatio-Temporal Convolutional LSTMs for Tumor Growth Prediction by Learning 4D Longitudinal Patient Data","Zhang L, Lu L, Wang X, Zhu RM, Bagheri M, Summers RM, Yao J.","IEEE Trans Med Imaging. 2020 Apr;39(4):1114-1126. doi: 10.1109/TMI.2019.2943841. Epub 2019 Sep 25.","Zhang L","IEEE Trans Med Imaging","2020","2019/09/29","PMC7213057","NIHMS1582095","10.1109/TMI.2019.2943841"
"31395950","Machine learning-based prediction of breast cancer growth rate in vivo","Bhattarai S, Klimov S, Aleskandarany MA, Burrell H, Wormall A, Green AR, Rida P, Ellis IO, Osan RM, Rakha EA, Aneja R.","Br J Cancer. 2019 Sep;121(6):497-504. doi: 10.1038/s41416-019-0539-x. Epub 2019 Aug 9.","Bhattarai S","Br J Cancer","2019","2019/08/10","PMC6738119","","10.1038/s41416-019-0539-x"
"33266472","Machine Learning Identifies Robust Matrisome Markers and Regulatory Mechanisms in Cancer","Kääriäinen A, Pesola V, Dittmann A, Kontio J, Koivunen J, Pihlajaniemi T, Izzi V.","Int J Mol Sci. 2020 Nov 22;21(22):8837. doi: 10.3390/ijms21228837.","Kääriäinen A","Int J Mol Sci","2020","2020/12/03","PMC7700160","","10.3390/ijms21228837"
"27564847","Adaptive immunity programmes in breast cancer","Varn FS, Mullins DW, Arias-Pulido H, Fiering S, Cheng C.","Immunology. 2017 Jan;150(1):25-34. doi: 10.1111/imm.12664. Epub 2016 Sep 20.","Varn FS","Immunology","2017","2016/08/27","PMC5341497","","10.1111/imm.12664"
"34208139","PML Differentially Regulates Growth and Invasion in Brain Cancer","Tampakaki M, Oraiopoulou ME, Tzamali E, Tzedakis G, Makatounakis T, Zacharakis G, Papamatheakis J, Sakkalis V.","Int J Mol Sci. 2021 Jun 11;22(12):6289. doi: 10.3390/ijms22126289.","Tampakaki M","Int J Mol Sci","2021","2021/07/02","PMC8230868","","10.3390/ijms22126289"
"33916984","Functional Roles of SPINK1 in Cancers","Lin TC.","Int J Mol Sci. 2021 Apr 7;22(8):3814. doi: 10.3390/ijms22083814.","Lin TC","Int J Mol Sci","2021","2021/04/30","PMC8067593","","10.3390/ijms22083814"
"29408791","Convolutional Invasion and Expansion Networks for Tumor Growth Prediction","Zhang L, Lu L, Summers RM, Kebebew E, Yao J.","IEEE Trans Med Imaging. 2018 Feb;37(2):638-648. doi: 10.1109/TMI.2017.2774044.","Zhang L","IEEE Trans Med Imaging","2018","2018/02/07","PMC5812268","NIHMS940746","10.1109/TMI.2017.2774044"
"32258124","Tabu Search and Machine-Learning Classification of Benign and Malignant Proliferative Breast Lesions","Dhahri H, Rahmany I, Mahmood A, Al Maghayreh E, Elkilani W.","Biomed Res Int. 2020 Feb 27;2020:4671349. doi: 10.1155/2020/4671349. eCollection 2020.","Dhahri H","Biomed Res Int","2020","2020/04/08","PMC7064857","","10.1155/2020/4671349"
"32919230","L(2,1)-Extreme Learning Machine: An Efficient Robust Classifier for Tumor Classification","Ren LR, Gao YL, Liu JX, Zhu R, Kong XZ.","Comput Biol Chem. 2020 Dec;89:107368. doi: 10.1016/j.compbiolchem.2020.107368. Epub 2020 Sep 1.","Ren LR","Comput Biol Chem","2020","2020/09/12","","","10.1016/j.compbiolchem.2020.107368"
"27784247","Current Trends in Drug Sensitivity Prediction","Cortes-Ciriano I, Mervin LH, Bender A.","Curr Pharm Des. 2016;22(46):6918-6927. doi: 10.2174/1381612822666161026154430.","Cortes-Ciriano I","Curr Pharm Des","2016","2016/10/28","","","10.2174/1381612822666161026154430"
"27596102","Image based modeling of tumor growth","Meghdadi N, Soltani M, Niroomand-Oscuii H, Ghalichi F.","Australas Phys Eng Sci Med. 2016 Sep;39(3):601-13. doi: 10.1007/s13246-016-0475-5. Epub 2016 Sep 5.","Meghdadi N","Australas Phys Eng Sci Med","2016","2016/09/07","","","10.1007/s13246-016-0475-5"
"34098060","A multi-scale agent-based model for avascular tumour growth","Sadhukhan S, Mishra PK, Basu SK, Mandal JK.","Biosystems. 2021 Aug;206:104450. doi: 10.1016/j.biosystems.2021.104450. Epub 2021 Jun 9.","Sadhukhan S","Biosystems","2021","2021/06/07","","","10.1016/j.biosystems.2021.104450"
"33439725","Machine Learning Frameworks to Predict Neoadjuvant Chemotherapy Response in Breast Cancer Using Clinical and Pathological Features","Meti N, Saednia K, Lagree A, Tabbarah S, Mohebpour M, Kiss A, Lu FI, Slodkowska E, Gandhi S, Jerzak KJ, Fleshner L, Law E, Sadeghi-Naini A, Tran WT.","JCO Clin Cancer Inform. 2021 Jan;5:66-80. doi: 10.1200/CCI.20.00078.","Meti N","JCO Clin Cancer Inform","2021","2021/01/13","","","10.1200/CCI.20.00078"
"31046990","Reinforcement learning-based control of tumor growth under anti-angiogenic therapy","Yazdjerdi P, Meskin N, Al-Naemi M, Al Moustafa AE, Kovács L.","Comput Methods Programs Biomed. 2019 May;173:15-26. doi: 10.1016/j.cmpb.2019.03.004. Epub 2019 Mar 8.","Yazdjerdi P","Comput Methods Programs Biomed","2019","2019/05/04","","","10.1016/j.cmpb.2019.03.004"
"33252827","Tumor-secreted proliferin-1 regulates adipogenesis and lipolysis in cachexia","Nguyen TD, Miyatake Y, Yoshida T, Kawahara H, Hanayama R.","Int J Cancer. 2021 Apr 15;148(8):1982-1992. doi: 10.1002/ijc.33418. Epub 2020 Dec 28.","Nguyen TD","Int J Cancer","2021","2020/11/30","","","10.1002/ijc.33418"
"30209997","A Brief Survey of Machine Learning Application in Cancerlectin Identification","Lai HY, Feng CQ, Zhang ZY, Tang H, Chen W, Lin H.","Curr Gene Ther. 2018;18(5):257-267. doi: 10.2174/1566523218666180913112751.","Lai HY","Curr Gene Ther","2018","2018/09/14","","","10.2174/1566523218666180913112751"
"25788973","PET-specific parameters and radiotracers in theoretical tumour modelling","Jennings M, Marcu LG, Bezak E.","Comput Math Methods Med. 2015;2015:415923. doi: 10.1155/2015/415923. Epub 2015 Feb 19.","Jennings M","Comput Math Methods Med","2015","2015/03/20","PMC4350968","","10.1155/2015/415923"
"28975366","A double dealing tale of p63: an oncogene or a tumor suppressor","Chen Y, Peng Y, Fan S, Li Y, Xiao ZX, Li C.","Cell Mol Life Sci. 2018 Mar;75(6):965-973. doi: 10.1007/s00018-017-2666-y. Epub 2017 Oct 3.","Chen Y","Cell Mol Life Sci","2018","2017/10/05","","","10.1007/s00018-017-2666-y"
"33357145","Expression of syndecan-1 in oral cavity squamous cell carcinoma","Woźniak M, Nahajowski M, Hnitecka S, Rutkowska M, Nowak M, Mitelsztet P, Szkudlarek D, Makuch S.","J Histotechnol. 2021 Mar;44(1):46-51. doi: 10.1080/01478885.2020.1861918. Epub 2020 Dec 24.","Woźniak M","J Histotechnol","2021","2020/12/28","","","10.1080/01478885.2020.1861918"
"28820389","Hippo pathway - brief overview of its relevance in cancer","Zygulska AL, Krzemieniecki K, Pierzchalski P.","J Physiol Pharmacol. 2017 Jun;68(3):311-335.","Zygulska AL","J Physiol Pharmacol","2017","2017/08/19","","",""
"24272362","The role of complement in tumor growth","Pio R, Corrales L, Lambris JD.","Adv Exp Med Biol. 2014;772:229-62. doi: 10.1007/978-1-4614-5915-6_11.","Pio R","Adv Exp Med Biol","2014","2013/11/26","PMC4379038","NIHMS674113","10.1007/978-1-4614-5915-6_11"
"34502160","Machine Learning-Based Radiomics Signatures for EGFR and KRAS Mutations Prediction in Non-Small-Cell Lung Cancer","Le NQK, Kha QH, Nguyen VH, Chen YC, Cheng SJ, Chen CY.","Int J Mol Sci. 2021 Aug 26;22(17):9254. doi: 10.3390/ijms22179254.","Le NQK","Int J Mol Sci","2021","2021/09/10","PMC8431041","","10.3390/ijms22179254"
"32121098","Aspirin Mitigated Tumor Growth in Obese Mice Involving Metabolic Inhibition","Wang JD, Chen WY, Li JR, Lin SY, Wang YY, Wu CC, Liao SL, Ko CC, Chen CJ.","Cells. 2020 Feb 28;9(3):569. doi: 10.3390/cells9030569.","Wang JD","Cells","2020","2020/03/04","PMC7140453","","10.3390/cells9030569"
"34213323","pdCSM-cancer: Using Graph-Based Signatures to Identify Small Molecules with Anticancer Properties","Al-Jarf R, de Sá AGC, Pires DEV, Ascher DB.","J Chem Inf Model. 2021 Jul 26;61(7):3314-3322. doi: 10.1021/acs.jcim.1c00168. Epub 2021 Jul 2.","Al-Jarf R","J Chem Inf Model","2021","2021/07/02","PMC8317153","","10.1021/acs.jcim.1c00168"
"31970615","Disease progression model of 4T1 metastatic breast cancer","Yang L, Yong L, Zhu X, Feng Y, Fu Y, Kong D, Lu W, Zhou TY.","J Pharmacokinet Pharmacodyn. 2020 Feb;47(1):105-116. doi: 10.1007/s10928-020-09673-5. Epub 2020 Jan 22.","Yang L","J Pharmacokinet Pharmacodyn","2020","2020/01/24","","","10.1007/s10928-020-09673-5"
"34653224","Text mining-based word representations for biomedical data analysis and protein-protein interaction networks in machine learning tasks","Alachram H, Chereda H, Beißbarth T, Wingender E, Stegmaier P.","PLoS One. 2021 Oct 15;16(10):e0258623. doi: 10.1371/journal.pone.0258623. eCollection 2021.","Alachram H","PLoS One","2021","2021/10/15","PMC8519453","","10.1371/journal.pone.0258623"
"29695070","The Novel Roles of Connexin Channels and Tunneling Nanotubes in Cancer Pathogenesis","Valdebenito S, Lou E, Baldoni J, Okafo G, Eugenin E.","Int J Mol Sci. 2018 Apr 24;19(5):1270. doi: 10.3390/ijms19051270.","Valdebenito S","Int J Mol Sci","2018","2018/04/27","PMC5983846","","10.3390/ijms19051270"
"32213092","Machine Learning and Mechanistic Modeling for Prediction of Metastatic Relapse in Early-Stage Breast Cancer","Nicolò C, Périer C, Prague M, Bellera C, MacGrogan G, Saut O, Benzekry S.","JCO Clin Cancer Inform. 2020 Mar;4:259-274. doi: 10.1200/CCI.19.00133.","Nicolò C","JCO Clin Cancer Inform","2020","2020/03/28","","","10.1200/CCI.19.00133"
"25892662","Sustained proliferation in cancer: Mechanisms and novel therapeutic targets","Feitelson MA, Arzumanyan A, Kulathinal RJ, Blain SW, Holcombe RF, Mahajna J, Marino M, Martinez-Chantar ML, Nawroth R, Sanchez-Garcia I, Sharma D, Saxena NK, Singh N, Vlachostergios PJ, Guo S, Honoki K, Fujii H, Georgakilas AG, Bilsland A, Amedei A, Niccolai E, Amin A, Ashraf SS, Boosani CS, Guha G, Ciriolo MR, Aquilano K, Chen S, Mohammed SI, Azmi AS, Bhakta D, Halicka D, Keith WN, Nowsheen S.","Semin Cancer Biol. 2015 Dec;35 Suppl(Suppl):S25-S54. doi: 10.1016/j.semcancer.2015.02.006. Epub 2015 Apr 17.","Feitelson MA","Semin Cancer Biol","2015","2015/04/21","PMC4898971","NIHMS760214","10.1016/j.semcancer.2015.02.006"
"33307492","Understanding the organ tropism of metastatic breast cancer through the combination of liquid biopsy tools","Gerratana L, Davis AA, Polano M, Zhang Q, Shah AN, Lin C, Basile D, Toffoli G, Wehbe F, Puglisi F, Behdad A, Platanias LC, Gradishar WJ, Cristofanilli M.","Eur J Cancer. 2021 Jan;143:147-157. doi: 10.1016/j.ejca.2020.11.005. Epub 2020 Dec 8.","Gerratana L","Eur J Cancer","2021","2020/12/11","","","10.1016/j.ejca.2020.11.005"
"27050512","Tumor-Induced Hyperlipidemia Contributes to Tumor Growth","Huang J, Li L, Lian J, Schauer S, Vesely PW, Kratky D, Hoefler G, Lehner R.","Cell Rep. 2016 Apr 12;15(2):336-48. doi: 10.1016/j.celrep.2016.03.020. Epub 2016 Mar 31.","Huang J","Cell Rep","2016","2016/04/07","PMC4984953","EMS69219","10.1016/j.celrep.2016.03.020"
"32823322","From Patient Engagement to Precision Oncology: Leveraging Informatics to Advance Cancer Care","Griffin AC, Topaloglu U, Davis S, Chung AE.","Yearb Med Inform. 2020 Aug;29(1):235-242. doi: 10.1055/s-0040-1701983. Epub 2020 Aug 21.","Griffin AC","Yearb Med Inform","2020","2020/08/22","PMC7442514","","10.1055/s-0040-1701983"
"29716544","NLRP3 promotes tumor growth and metastasis in human oral squamous cell carcinoma","Wang H, Luo Q, Feng X, Zhang R, Li J, Chen F.","BMC Cancer. 2018 May 2;18(1):500. doi: 10.1186/s12885-018-4403-9.","Wang H","BMC Cancer","2018","2018/05/03","PMC5930757","","10.1186/s12885-018-4403-9"
"33767176","Drug ranking using machine learning systematically predicts the efficacy of anti-cancer drugs","Gerdes H, Casado P, Dokal A, Hijazi M, Akhtar N, Osuntola R, Rajeeve V, Fitzgibbon J, Travers J, Britton D, Khorsandi S, Cutillas PR.","Nat Commun. 2021 Mar 25;12(1):1850. doi: 10.1038/s41467-021-22170-8.","Gerdes H","Nat Commun","2021","2021/03/26","PMC7994645","","10.1038/s41467-021-22170-8"
"34142614","The Application and Development of Deep Learning in Radiotherapy: A Systematic Review","Huang D, Bai H, Wang L, Hou Y, Li L, Xia Y, Yan Z, Chen W, Chang L, Li W.","Technol Cancer Res Treat. 2021 Jan-Dec;20:15330338211016386. doi: 10.1177/15330338211016386.","Huang D","Technol Cancer Res Treat","2021","2021/06/18","PMC8216350","","10.1177/15330338211016386"
"34925310","Immune Infiltration, Cancer Stemness, and Targeted Therapy in Gastrointestinal Stromal Tumor","Wang J, Ren H, Wu W, Zeng Q, Chen J, Han J, Lin M, Zhang C, He Y, Li M.","Front Immunol. 2021 Dec 3;12:691713. doi: 10.3389/fimmu.2021.691713. eCollection 2021.","Wang J","Front Immunol","2021","2021/12/20","PMC8678045","","10.3389/fimmu.2021.691713"
"34218270","SFPQ promotes an oncogenic transcriptomic state in melanoma","Bi O, Anene CA, Nsengimana J, Shelton M, Roberts W, Newton-Bishop J, Boyne JR.","Oncogene. 2021 Aug;40(33):5192-5203. doi: 10.1038/s41388-021-01912-4. Epub 2021 Jul 3.","Bi O","Oncogene","2021","2021/07/04","PMC8376646","EMS128073","10.1038/s41388-021-01912-4"
"32381353","Neuropilin-2 promotes growth and progression of papillary thyroid cancer cells","Lee G, Kang YE, Oh C, Liu L, Jin Y, Lim MA, Won HR, Chang JW, Koo BS.","Auris Nasus Larynx. 2020 Oct;47(5):870-880. doi: 10.1016/j.anl.2020.03.013. Epub 2020 May 4.","Lee G","Auris Nasus Larynx","2020","2020/05/09","","","10.1016/j.anl.2020.03.013"
"30066361","Pharmacologic therapy to induce weight loss in women who have obesity/overweight with polycystic ovary syndrome: a systematic review and network meta-analysis","Wang FF, Wu Y, Zhu YH, Ding T, Batterham RL, Qu F, Hardiman PJ.","Obes Rev. 2018 Oct;19(10):1424-1445. doi: 10.1111/obr.12720. Epub 2018 Jul 31.","Wang FF","Obes Rev","2018","2018/08/02","","","10.1111/obr.12720"
"32987550","A tutorial review of mathematical techniques for quantifying tumor heterogeneity","Everett R, Flores KB, Henscheid N, Lagergren J, Larripa K, Li D, Nardini JT, Nguyen PTT, Pitman EB, Rutter EM.","Math Biosci Eng. 2020 May 19;17(4):3660-3709. doi: 10.3934/mbe.2020207.","Everett R","Math Biosci Eng","2020","2020/09/29","","","10.3934/mbe.2020207"
"34352654","Automatic multiclass intramedullary spinal cord tumor segmentation on MRI with deep learning","Lemay A, Gros C, Zhuo Z, Zhang J, Duan Y, Cohen-Adad J, Liu Y.","Neuroimage Clin. 2021;31:102766. doi: 10.1016/j.nicl.2021.102766. Epub 2021 Jul 22.","Lemay A","Neuroimage Clin","2021","2021/08/05","PMC8350366","","10.1016/j.nicl.2021.102766"
"32248003","Discovery of new LXRβ agonists as glioblastoma inhibitors","Chen H, Chen Z, Zhang Z, Li Y, Zhang S, Jiang F, Wei J, Ding P, Zhou H, Gu Q, Xu J.","Eur J Med Chem. 2020 May 15;194:112240. doi: 10.1016/j.ejmech.2020.112240. Epub 2020 Mar 17.","Chen H","Eur J Med Chem","2020","2020/04/06","","","10.1016/j.ejmech.2020.112240"
"29741675","The Intestinotrophic Effects of Glucagon-Like Peptide-2 in Relation to Intestinal Neoplasia","Orhan A, Gögenur I, Kissow H.","J Clin Endocrinol Metab. 2018 Aug 1;103(8):2827-2837. doi: 10.1210/jc.2018-00655.","Orhan A","J Clin Endocrinol Metab","2018","2018/05/10","","","10.1210/jc.2018-00655"
"34355433","Trilobolide-6-O-isobutyrate suppresses hepatocellular carcinoma tumorigenesis through inhibition of IL-6/STAT3 signaling pathway","Zhou XQ, Mao XM, Fan R, Li SY, Shang J, Zhang T, Li RH, Li HQ, Hui Y, Chen WH, Wang ZX, Shen DY.","Phytother Res. 2021 Oct;35(10):5741-5753. doi: 10.1002/ptr.7233. Epub 2021 Aug 6.","Zhou XQ","Phytother Res","2021","2021/08/06","","","10.1002/ptr.7233"
"33261486","Self-generated persistent random forces drive phase separation in growing tumors","Sinha S, Thirumalai D.","J Chem Phys. 2020 Nov 28;153(20):201101. doi: 10.1063/5.0026590.","Sinha S","J Chem Phys","2020","2020/12/02","","","10.1063/5.0026590"
